Date_reported,casos_nuevos,muertes_nuevas,region
2020-05-23,13423,161,EMRO
2020-05-24,12885,182,EMRO
2020-05-25,12026,176,EMRO
2020-05-26,11068,129,EMRO
2020-05-27,10690,159,EMRO
2020-05-28,12251,169,EMRO
2020-05-29,13580,209,EMRO
2020-05-30,14503,248,EMRO
2020-05-31,15076,275,EMRO
2020-06-01,15140,274,EMRO
2020-06-02,16006,272,EMRO
2020-06-03,16344,283,EMRO
2020-06-04,17526,276,EMRO
2020-06-05,17078,262,EMRO
2020-06-06,17906,304,EMRO
2020-06-07,18652,302,EMRO
2020-06-08,17751,276,EMRO
2020-06-09,17171,311,EMRO
2020-06-10,18749,333,EMRO
2020-06-11,19472,335,EMRO
2020-06-12,19912,350,EMRO
2020-06-13,20885,329,EMRO
2020-06-14,20905,380,EMRO
2020-06-15,19669,437,EMRO
2020-06-16,18552,481,EMRO
2020-06-17,20685,500,EMRO
2020-06-18,20042,517,EMRO
2020-06-19,19157,466,EMRO
2020-06-20,21773,519,EMRO
2020-06-21,18966,515,EMRO
2020-06-22,17233,468,EMRO
2020-06-23,18512,462,EMRO
2020-06-24,17676,442,EMRO
2020-06-25,18824,556,EMRO
2020-06-26,17877,461,EMRO
2020-06-27,18747,500,EMRO
2020-06-28,17996,489,EMRO
2020-06-29,17559,447,EMRO
2020-06-30,16493,542,EMRO
2020-07-01,19337,548,EMRO
2020-07-02,18948,528,EMRO
2020-07-03,18973,513,EMRO
2020-07-04,19129,491,EMRO
2020-07-05,18513,552,EMRO
2020-07-06,17551,497,EMRO
2020-07-07,16903,533,EMRO
2020-07-08,17017,560,EMRO
2020-07-09,17451,464,EMRO
2020-07-10,16661,572,EMRO
2020-07-11,17075,450,EMRO
2020-07-12,15459,503,EMRO
2020-07-13,15338,582,EMRO
2020-07-14,15606,516,EMRO
2020-07-15,14790,544,EMRO
2020-07-16,14810,482,EMRO
2020-07-17,15090,505,EMRO
2020-07-18,13812,457,EMRO
2020-07-19,13726,488,EMRO
2020-07-20,12773,461,EMRO
2020-07-21,13250,458,EMRO
2020-07-22,13915,483,EMRO
2020-07-23,14628,490,EMRO
2020-07-24,13270,482,EMRO
2020-07-25,14018,458,EMRO
2020-07-26,13605,424,EMRO
2020-07-27,12486,450,EMRO
2020-07-28,12392,440,EMRO
2020-07-29,13127,449,EMRO
2020-07-30,13222,392,EMRO
2020-07-31,12618,429,EMRO
2020-08-01,12175,396,EMRO
2020-08-02,9616,372,EMRO
2020-08-03,9372,372,EMRO
2020-08-04,10314,472,EMRO
2020-08-05,11072,410,EMRO
2020-08-06,12271,392,EMRO
2020-08-07,12364,353,EMRO
2020-08-08,12630,356,EMRO
2020-08-09,11702,335,EMRO
2020-08-10,10821,363,EMRO
2020-08-11,11675,421,EMRO
2020-08-12,12724,402,EMRO
2020-08-13,13273,371,EMRO
2020-08-14,13309,350,EMRO
2020-08-15,13500,357,EMRO
2020-08-16,13769,351,EMRO
2020-08-17,12916,356,EMRO
2020-08-18,11887,379,EMRO
2020-08-19,14080,379,EMRO
2020-08-20,13909,364,EMRO
2020-08-21,13170,359,EMRO
2020-08-22,13469,319,EMRO
2020-08-23,12758,326,EMRO
2020-08-24,11853,343,EMRO
2020-08-25,12290,392,EMRO
2020-08-26,12950,338,EMRO
2020-08-27,12853,307,EMRO
2020-08-28,12728,314,EMRO
2020-08-29,12881,301,EMRO
2020-08-30,12117,276,EMRO
2020-08-31,11811,316,EMRO
2020-09-01,12148,315,EMRO
2020-09-02,11913,335,EMRO
2020-09-03,13309,320,EMRO
2020-09-04,14587,333,EMRO
2020-09-05,15354,337,EMRO
2020-09-06,13979,299,EMRO
2020-09-07,14587,374,EMRO
2020-09-08,13851,323,EMRO
2020-09-09,15978,343,EMRO
2020-09-10,15156,324,EMRO
2020-09-11,16100,357,EMRO
2020-09-12,14829,288,EMRO
2020-09-13,15266,301,EMRO
2020-09-14,15672,337,EMRO
2020-09-15,15078,371,EMRO
2020-09-16,16611,364,EMRO
2020-09-17,16769,409,EMRO
2020-09-18,17477,405,EMRO
2020-09-19,16480,367,EMRO
2020-09-20,16386,367,EMRO
2020-09-21,16674,412,EMRO
2020-09-22,14758,368,EMRO
2020-09-23,19062,381,EMRO
2020-09-24,18989,388,EMRO
2020-09-25,18945,358,EMRO
2020-09-26,17625,419,EMRO
2020-09-27,18172,394,EMRO
2020-09-28,16880,393,EMRO
2020-09-29,17100,443,EMRO
2020-09-30,18732,434,EMRO
2020-10-01,19735,380,EMRO
2020-10-02,19150,401,EMRO
2020-10-03,17073,383,EMRO
2020-10-04,19447,408,EMRO
2020-10-05,18065,421,EMRO
2020-10-06,19750,474,EMRO
2020-10-07,19714,442,EMRO
2020-10-08,21357,484,EMRO
2020-10-09,19519,445,EMRO
2020-10-10,21034,462,EMRO
2020-10-11,18569,416,EMRO
2020-10-12,16977,465,EMRO
2020-10-13,18859,511,EMRO
2020-10-14,20555,476,EMRO
2020-10-15,21668,498,EMRO
2020-10-16,21489,489,EMRO
2020-10-17,24638,581,EMRO
2020-10-18,18858,488,EMRO
2020-10-19,21113,544,EMRO
2020-10-20,20075,605,EMRO
2020-10-21,21229,550,EMRO
2020-10-22,24082,618,EMRO
2020-10-23,25667,552,EMRO
2020-10-24,24908,618,EMRO
2020-10-25,24086,654,EMRO
2020-10-26,22794,524,EMRO
2020-10-27,22463,763,EMRO
2020-10-28,27045,604,EMRO
2020-10-29,26059,655,EMRO
2020-10-30,31201,732,EMRO
2020-10-31,27086,667,EMRO
2020-11-01,24517,673,EMRO
2020-11-02,26080,747,EMRO
2020-11-03,28770,793,EMRO
2020-11-04,30953,741,EMRO
2020-11-05,32856,1059,EMRO
2020-11-06,31290,817,EMRO
2020-11-07,33412,794,EMRO
2020-11-08,30711,724,EMRO
2020-11-09,30524,758,EMRO
2020-11-10,30949,805,EMRO
2020-11-11,35146,873,EMRO
2020-11-12,36177,867,EMRO
2020-11-13,37144,823,EMRO
2020-11-14,35107,821,EMRO
2020-11-15,33445,803,EMRO
2020-11-16,32915,912,EMRO
2020-11-17,32959,830,EMRO
2020-11-18,37527,858,EMRO
2020-11-19,41011,903,EMRO
2020-11-20,36775,861,EMRO
2020-11-21,36663,1151,EMRO
2020-11-22,33244,790,EMRO
2020-11-23,35431,882,EMRO
2020-11-24,31850,804,EMRO
2020-11-25,35896,933,EMRO
2020-11-26,37656,832,EMRO
2020-11-27,37831,880,EMRO
2020-11-28,37822,781,EMRO
2020-11-29,32829,702,EMRO
2020-11-30,34572,764,EMRO
2020-12-01,32959,706,EMRO
2020-12-02,35657,783,EMRO
2020-12-03,35878,777,EMRO
2020-12-04,37891,728,EMRO
2020-12-05,34050,701,EMRO
2020-12-06,31556,625,EMRO
2020-12-07,31208,620,EMRO
2020-12-08,28681,648,EMRO
2020-12-09,29830,715,EMRO
2020-12-10,30569,670,EMRO
2020-12-11,29987,641,EMRO
2020-12-12,27524,539,EMRO
2020-12-13,24286,552,EMRO
2020-12-14,24563,594,EMRO
2020-12-15,21991,528,EMRO
2020-12-16,25872,575,EMRO
2020-12-17,27667,579,EMRO
2020-12-18,26229,560,EMRO
2020-12-19,25411,534,EMRO
2020-12-20,22869,509,EMRO
2020-12-21,23005,505,EMRO
2020-12-22,20148,532,EMRO
2020-12-23,23177,525,EMRO
2020-12-24,24554,521,EMRO
2020-12-25,24820,531,EMRO
2020-12-26,23197,505,EMRO
2020-12-27,20072,415,EMRO
2020-12-28,20178,467,EMRO
2020-12-29,20247,437,EMRO
2020-12-30,22384,460,EMRO
2020-12-31,24947,460,EMRO
2021-01-01,24740,464,EMRO
2021-01-02,22879,440,EMRO
2021-01-03,20665,406,EMRO
2021-01-04,22591,417,EMRO
2021-01-05,20639,424,EMRO
2021-01-06,23805,433,EMRO
2021-01-07,25362,396,EMRO
2021-01-08,27297,372,EMRO
2021-01-09,26694,389,EMRO
2021-01-10,26347,404,EMRO
2021-01-11,24207,390,EMRO
2021-01-12,23561,377,EMRO
2021-01-13,26005,466,EMRO
2021-01-14,27966,430,EMRO
2021-01-15,27889,422,EMRO
2021-01-16,29212,401,EMRO
2021-01-17,25077,410,EMRO
2021-01-18,25315,420,EMRO
2021-01-19,22347,421,EMRO
2021-01-20,25063,474,EMRO
2021-01-21,26222,445,EMRO
2021-01-22,25645,424,EMRO
2021-01-23,23386,452,EMRO
2021-01-24,22792,360,EMRO
2021-01-25,22828,433,EMRO
2021-01-26,21142,384,EMRO
2021-01-27,24126,442,EMRO
2021-01-28,24371,488,EMRO
2021-01-29,24559,427,EMRO
2021-01-30,23581,400,EMRO
2021-01-31,21336,698,EMRO
2021-02-01,21052,388,EMRO
2021-02-02,20601,350,EMRO
2021-02-03,23070,432,EMRO
2021-02-04,24551,452,EMRO
2021-02-05,23796,384,EMRO
2021-02-06,24033,417,EMRO
2021-02-07,21510,337,EMRO
2021-02-08,22862,352,EMRO
2021-02-09,22558,360,EMRO
2021-02-10,24861,416,EMRO
2021-02-11,25957,382,EMRO
2021-02-12,26249,375,EMRO
2021-02-13,25065,298,EMRO
2021-02-14,22949,340,EMRO
2021-02-15,24798,308,EMRO
2021-02-16,24129,347,EMRO
2021-02-17,27006,383,EMRO
2021-02-18,28293,359,EMRO
2021-02-19,26863,360,EMRO
2021-02-20,25434,370,EMRO
2021-02-21,25495,318,EMRO
2021-02-22,27068,375,EMRO
2021-02-23,27631,328,EMRO
2021-02-24,30966,368,EMRO
2021-02-25,31113,394,EMRO
2021-02-26,31517,417,EMRO
2021-02-27,30995,341,EMRO
2021-02-28,27935,347,EMRO
2021-03-01,30163,368,EMRO
2021-03-02,30798,422,EMRO
2021-03-03,33299,389,EMRO
2021-03-04,34810,436,EMRO
2021-03-05,35530,444,EMRO
2021-03-06,33647,385,EMRO
2021-03-07,30363,369,EMRO
2021-03-08,33315,406,EMRO
2021-03-09,34136,390,EMRO
2021-03-10,35860,438,EMRO
2021-03-11,36353,424,EMRO
2021-03-12,37070,442,EMRO
2021-03-13,36378,380,EMRO
2021-03-14,30452,413,EMRO
2021-03-15,36800,452,EMRO
2021-03-16,36182,452,EMRO
2021-03-17,39497,467,EMRO
2021-03-18,40280,485,EMRO
2021-03-19,40362,489,EMRO
2021-03-20,38162,486,EMRO
2021-03-21,32447,439,EMRO
2021-03-22,40065,505,EMRO
2021-03-23,39209,469,EMRO
2021-03-24,39511,558,EMRO
2021-03-25,37518,461,EMRO
2021-03-26,41595,517,EMRO
2021-03-27,38810,469,EMRO
2021-03-28,34422,471,EMRO
2021-03-29,41092,489,EMRO
2021-03-30,39717,485,EMRO
2021-03-31,43203,555,EMRO
2021-04-01,45565,543,EMRO
2021-04-02,46372,552,EMRO
2021-04-03,43585,584,EMRO
2021-04-04,38686,545,EMRO
2021-04-05,46984,663,EMRO
2021-04-06,45798,572,EMRO
2021-04-07,51785,654,EMRO
2021-04-08,56676,637,EMRO
2021-04-09,59627,699,EMRO
2021-04-10,55632,610,EMRO
2021-04-11,48465,619,EMRO
2021-04-12,54599,759,EMRO
2021-04-13,54836,701,EMRO
2021-04-14,56275,751,EMRO
2021-04-15,58913,821,EMRO
2021-04-16,57831,856,EMRO
2021-04-17,55882,797,EMRO
2021-04-18,47840,775,EMRO
2021-04-19,52955,1051,EMRO
2021-04-20,54715,824,EMRO
2021-04-21,57889,942,EMRO
2021-04-22,58700,919,EMRO
2021-04-23,56478,907,EMRO
2021-04-24,52447,911,EMRO
2021-04-25,45140,836,EMRO
2021-04-26,48405,1011,EMRO
2021-04-27,47411,915,EMRO
2021-04-28,48869,989,EMRO
2021-04-29,49444,1021,EMRO
2021-04-30,47374,888,EMRO
2021-05-01,44693,872,EMRO
2021-05-02,38308,781,EMRO
2021-05-03,41367,827,EMRO
2021-05-04,42461,761,EMRO
2021-05-05,43442,867,EMRO
2021-05-06,40101,907,EMRO
2021-05-07,41907,762,EMRO
2021-05-08,38918,771,EMRO
2021-05-09,32657,710,EMRO
2021-05-10,34394,835,EMRO
2021-05-11,37798,719,EMRO
2021-05-12,38355,736,EMRO
2021-05-13,34998,761,EMRO
2021-05-14,32254,676,EMRO
2021-05-15,23140,468,EMRO
2021-05-16,19096,514,EMRO
2021-05-17,25464,633,EMRO
2021-05-18,31355,631,EMRO
2021-05-19,32485,724,EMRO
2021-05-20,33459,704,EMRO
2021-05-21,34385,609,EMRO
2021-05-22,31363,532,EMRO
2021-05-23,27207,492,EMRO
2021-05-24,28186,552,EMRO
2021-05-25,30764,550,EMRO
2021-05-26,32018,482,EMRO
2021-05-27,32720,533,EMRO
2021-05-28,31624,475,EMRO
2021-05-29,31549,478,EMRO
2021-05-30,25707,486,EMRO
2021-05-31,27407,479,EMRO
2021-06-01,30296,481,EMRO
2021-06-02,30439,544,EMRO
2021-06-03,32287,542,EMRO
2021-06-04,29796,505,EMRO
2021-06-05,28475,498,EMRO
2021-06-06,23508,454,EMRO
2021-06-07,23310,443,EMRO
2021-06-08,22918,460,EMRO
2021-06-09,28285,533,EMRO
2021-06-10,30647,530,EMRO
2021-06-11,32948,530,EMRO
2021-06-12,28985,412,EMRO
2021-06-13,24701,445,EMRO
2021-06-14,25873,556,EMRO
2021-06-15,28931,439,EMRO
2021-06-16,28000,442,EMRO
2021-06-17,32039,540,EMRO
2021-06-18,31244,517,EMRO
2021-06-19,29770,510,EMRO
2021-06-20,23373,469,EMRO
2021-06-21,26024,466,EMRO
2021-06-22,30886,478,EMRO
2021-06-23,33055,494,EMRO
2021-06-24,33449,488,EMRO
2021-06-25,34454,497,EMRO
2021-06-26,32027,473,EMRO
2021-06-27,27610,458,EMRO
2021-06-28,28940,474,EMRO
2021-06-29,32343,477,EMRO
2021-06-30,37108,518,EMRO
2021-07-01,37043,516,EMRO
2021-07-02,41242,506,EMRO
2021-07-03,38015,506,EMRO
2021-07-04,31139,482,EMRO
2021-07-05,34838,550,EMRO
2021-07-06,38973,497,EMRO
2021-07-07,45558,492,EMRO
2021-07-08,48575,514,EMRO
2021-07-09,54149,507,EMRO
2021-07-10,46625,566,EMRO
2021-07-11,38422,594,EMRO
2021-07-12,45204,538,EMRO
2021-07-13,47782,494,EMRO
2021-07-14,54271,566,EMRO
2021-07-15,56428,582,EMRO
2021-07-16,56362,614,EMRO
2021-07-17,52519,600,EMRO
2021-07-18,42905,586,EMRO
2021-07-19,51913,556,EMRO
2021-07-20,51722,602,EMRO
2021-07-21,56161,650,EMRO
2021-07-22,48873,522,EMRO
2021-07-23,40627,623,EMRO
2021-07-24,47533,749,EMRO
2021-07-25,44926,714,EMRO
2021-07-26,57938,752,EMRO
2021-07-27,62114,729,EMRO
2021-07-28,72796,689,EMRO
2021-07-29,75371,898,EMRO
2021-07-30,74605,756,EMRO
2021-07-31,63983,762,EMRO
2021-08-01,51994,727,EMRO
2021-08-02,66872,906,EMRO
2021-08-03,69490,866,EMRO
2021-08-04,74829,882,EMRO
2021-08-05,80184,855,EMRO
2021-08-06,79128,875,EMRO
2021-08-07,73602,914,EMRO
2021-08-08,58171,824,EMRO
2021-08-09,73062,960,EMRO
2021-08-10,67741,961,EMRO
2021-08-11,74442,995,EMRO
2021-08-12,76366,982,EMRO
2021-08-13,76352,1229,EMRO
2021-08-14,75103,1032,EMRO
2021-08-15,59617,875,EMRO
2021-08-16,65480,1011,EMRO
2021-08-17,66875,1008,EMRO
2021-08-18,82469,1040,EMRO
2021-08-19,71684,1239,EMRO
2021-08-20,64656,1026,EMRO
2021-08-21,56688,945,EMRO
2021-08-22,45824,936,EMRO
2021-08-23,59577,1102,EMRO
2021-08-24,61452,1099,EMRO
2021-08-25,70952,1208,EMRO
2021-08-26,71872,1159,EMRO
2021-08-27,68718,1134,EMRO
2021-08-28,65475,1048,EMRO
2021-08-29,49209,1153,EMRO
2021-08-30,55807,952,EMRO
2021-08-31,56709,1016,EMRO
2021-09-01,57231,1121,EMRO
2021-09-02,60400,1038,EMRO
2021-09-03,57380,985,EMRO
2021-09-04,51657,948,EMRO
2021-09-05,40003,831,EMRO
2021-09-06,41504,810,EMRO
2021-09-07,52775,1044,EMRO
2021-09-08,51017,1061,EMRO
2021-09-09,49631,885,EMRO
2021-09-10,49356,879,EMRO
2021-09-11,41091,814,EMRO
2021-09-12,32315,756,EMRO
2021-09-13,36606,839,EMRO
2021-09-14,44803,650,EMRO
2021-09-15,38534,765,EMRO
2021-09-16,37626,773,EMRO
2021-09-17,35391,732,EMRO
2021-09-18,33890,660,EMRO
2021-09-19,23931,655,EMRO
2021-09-20,30417,676,EMRO
2021-09-21,34700,667,EMRO
2021-09-22,31714,728,EMRO
2021-09-23,31443,529,EMRO
2021-09-24,30732,597,EMRO
2021-09-25,29086,555,EMRO
2021-09-26,21308,532,EMRO
2021-09-27,24270,583,EMRO
2021-09-28,25559,523,EMRO
2021-09-29,23400,507,EMRO
2021-09-30,24363,506,EMRO
2021-10-01,25419,532,EMRO
2021-10-02,25244,487,EMRO
2021-10-03,17857,431,EMRO
2021-10-04,22581,456,EMRO
2021-10-05,24132,414,EMRO
2021-10-06,23552,445,EMRO
2021-10-07,21011,431,EMRO
2021-10-08,17864,429,EMRO
2020-01-03,0,0,AFRO
2020-01-04,0,0,AFRO
2020-01-05,0,0,AFRO
2020-01-06,0,0,AFRO
2020-01-07,0,0,AFRO
2020-01-08,0,0,AFRO
2020-01-09,0,0,AFRO
2020-01-10,0,0,AFRO
2020-01-11,0,0,AFRO
2020-01-12,0,0,AFRO
2020-01-13,0,0,AFRO
2020-01-14,0,0,AFRO
2020-01-15,0,0,AFRO
2020-01-16,0,0,AFRO
2020-01-17,0,0,AFRO
2020-01-18,0,0,AFRO
2020-01-19,0,0,AFRO
2020-01-20,0,0,AFRO
2020-01-21,0,0,AFRO
2020-01-22,0,0,AFRO
2020-01-23,0,0,AFRO
2020-01-24,0,0,AFRO
2020-01-25,0,0,AFRO
2020-01-26,0,0,AFRO
2020-01-27,0,0,AFRO
2020-01-28,0,0,AFRO
2020-01-29,0,0,AFRO
2020-01-30,0,0,AFRO
2020-01-31,0,0,AFRO
2020-02-01,0,0,AFRO
2020-02-02,0,0,AFRO
2020-02-03,0,0,AFRO
2020-02-04,0,0,AFRO
2020-02-05,0,0,AFRO
2020-02-06,0,0,AFRO
2020-02-07,0,0,AFRO
2020-02-08,0,0,AFRO
2020-02-09,0,0,AFRO
2020-02-10,0,0,AFRO
2020-02-11,0,0,AFRO
2020-02-12,0,0,AFRO
2020-02-13,0,0,AFRO
2020-02-14,0,0,AFRO
2020-02-15,0,0,AFRO
2020-02-16,0,0,AFRO
2020-02-17,0,0,AFRO
2020-02-18,0,0,AFRO
2020-02-19,0,0,AFRO
2020-02-20,0,0,AFRO
2020-02-21,0,0,AFRO
2020-02-22,0,0,AFRO
2020-02-23,0,0,AFRO
2020-02-24,0,0,AFRO
2020-02-25,5,0,AFRO
2020-02-26,0,0,AFRO
2020-02-27,0,0,AFRO
2020-02-28,5,0,AFRO
2020-02-29,0,0,AFRO
2020-03-01,0,0,AFRO
2020-03-02,7,0,AFRO
2020-03-03,2,0,AFRO
2020-03-04,6,0,AFRO
2020-03-05,9,0,AFRO
2020-03-06,10,0,AFRO
2020-03-07,7,0,AFRO
2020-03-08,1,0,AFRO
2020-03-09,4,0,AFRO
2020-03-10,4,0,AFRO
2020-03-11,11,0,AFRO
2020-03-12,22,1,AFRO
2020-03-13,11,0,AFRO
2020-03-14,78,1,AFRO
2020-03-15,45,1,AFRO
2020-03-16,52,1,AFRO
2020-03-17,50,0,AFRO
2020-03-18,95,3,AFRO
2020-03-19,160,1,AFRO
2020-03-20,76,4,AFRO
2020-03-21,111,5,AFRO
2020-03-22,64,3,AFRO
2020-03-23,176,3,AFRO
2020-03-24,304,3,AFRO
2020-03-25,351,3,AFRO
2020-03-26,281,2,AFRO
2020-03-27,482,8,AFRO
2020-03-28,412,8,AFRO
2020-03-29,205,4,AFRO
2020-03-30,484,17,AFRO
2020-03-31,282,9,AFRO
2020-04-01,313,16,AFRO
2020-04-02,621,33,AFRO
2020-04-03,560,38,AFRO
2020-04-04,689,33,AFRO
2020-04-05,423,38,AFRO
2020-04-06,231,9,AFRO
2020-04-07,443,50,AFRO
2020-04-08,555,32,AFRO
2020-04-09,690,23,AFRO
2020-04-10,450,33,AFRO
2020-04-11,553,33,AFRO
2020-04-12,388,28,AFRO
2020-04-13,531,21,AFRO
2020-04-14,527,37,AFRO
2020-04-15,580,22,AFRO
2020-04-16,477,27,AFRO
2020-04-17,517,36,AFRO
2020-04-18,744,30,AFRO
2020-04-19,788,12,AFRO
2020-04-20,868,34,AFRO
2020-04-21,795,42,AFRO
2020-04-22,560,16,AFRO
2020-04-23,714,28,AFRO
2020-04-24,1404,40,AFRO
2020-04-25,1263,24,AFRO
2020-04-26,819,27,AFRO
2020-04-27,1154,26,AFRO
2020-04-28,767,16,AFRO
2020-04-29,1017,21,AFRO
2020-04-30,1460,36,AFRO
2020-05-01,1950,35,AFRO
2020-05-02,1310,40,AFRO
2020-05-03,1463,51,AFRO
2020-05-04,1098,21,AFRO
2020-05-05,2036,27,AFRO
2020-05-06,1403,93,AFRO
2020-05-07,1497,23,AFRO
2020-05-08,2247,47,AFRO
2020-05-09,2827,47,AFRO
2020-05-10,2082,47,AFRO
2020-05-11,1907,46,AFRO
2020-05-12,2296,34,AFRO
2020-05-13,2600,51,AFRO
2020-05-14,2323,67,AFRO
2020-05-15,2438,56,AFRO
2020-05-16,2271,44,AFRO
2020-05-17,2202,43,AFRO
2020-05-18,2500,38,AFRO
2020-05-19,2358,48,AFRO
2020-05-20,2435,50,AFRO
2020-05-21,2391,64,AFRO
2020-05-22,3405,71,AFRO
2020-05-23,2504,59,AFRO
2020-05-24,3039,33,AFRO
2020-05-25,2707,47,AFRO
2020-05-26,3042,94,AFRO
2020-05-27,2771,94,AFRO
2020-05-28,3777,62,AFRO
2020-05-29,3337,57,AFRO
2020-05-30,3973,55,AFRO
2020-05-31,3708,72,AFRO
2020-06-01,3632,84,AFRO
2020-06-02,3879,62,AFRO
2020-06-03,3365,89,AFRO
2020-06-04,4153,69,AFRO
2020-06-05,5465,100,AFRO
2020-06-06,5457,104,AFRO
2020-06-07,4763,86,AFRO
2020-06-08,4088,88,AFRO
2020-06-09,5086,116,AFRO
2020-06-10,4789,141,AFRO
2020-06-11,4795,100,AFRO
2020-06-12,5680,107,AFRO
2020-06-13,5492,167,AFRO
2020-06-14,6312,131,AFRO
2020-06-15,7937,113,AFRO
2020-06-16,6400,124,AFRO
2020-06-17,5722,111,AFRO
2020-06-18,6914,136,AFRO
2020-06-19,6639,113,AFRO
2020-06-20,7357,155,AFRO
2020-06-21,8464,124,AFRO
2020-06-22,7664,122,AFRO
2020-06-23,7552,121,AFRO
2020-06-24,7333,173,AFRO
2020-06-25,9010,151,AFRO
2020-06-26,10194,123,AFRO
2020-06-27,9350,109,AFRO
2020-06-28,10713,112,AFRO
2020-06-29,9532,94,AFRO
2020-06-30,8943,131,AFRO
2020-07-01,9504,182,AFRO
2020-07-02,11638,148,AFRO
2020-07-03,11364,146,AFRO
2020-07-04,12619,142,AFRO
